,dep_stop_id,weight,arr_stop_id
778,8590701,536,8503682
779,8573716,599,8503689
780,8583053,469,8503690
781,8579434,17,8503692
782,8579442,317,8503692
783,8579443,363,8503692
784,8579453,527,8503692
785,8579994,362,8503692
786,8573712,547,8503693
787,8579495,387,8503693
788,8579497,339,8503693
789,8503579,341,8503698
790,8582752,494,8503698
791,8574658,325,8503699
792,8574684,448,8503699
793,8503307,20,8503700
794,8588316,517,8503700
795,8503307,21,8503700
796,8502559,132,8503709
797,8503055,478,8503709
798,8574684,321,8503709
799,8574739,454,8503709
800,8575014,393,8503709
801,8573206,592,8503781
802,8580620,434,8503781
803,8503254,463,8503785
804,8576099,381,8503785
805,8581538,94,8503785
806,8587010,425,8503785
807,8573209,335,8503788
808,8583774,465,8503788
809,8573163,431,8503791
810,8573164,346,8503791
811,8573165,464,8503791
812,8503204,113,8503855
813,8503672,200,8503855
814,8573552,150,8503855
815,8573555,573,8503855
816,8577912,391,8503855
817,8580724,504,8503855
818,8589111,340,8503855
819,8590651,364,8503855
820,8590660,212,8503855
821,8594182,462,8503855
822,8503204,113,8503855
823,8503672,200,8503855
824,8573552,150,8503855
825,8573555,573,8503855
826,8577912,391,8503855
827,8580724,504,8503855
828,8589111,340,8503855
829,8590651,364,8503855
830,8590660,212,8503855
831,8594182,462,8503855
832,8503989,499,8503857
833,8582751,85,8503860
834,8502992,541,8503862
835,8590706,205,8503862
836,8590707,551,8503862
837,8503565,347,8503872
838,8503567,442,8503872
839,8588058,586,8503872
840,8502992,450,8503887
841,8590706,594,8503887
842,8590708,413,8503887
843,8573556,227,8503898
844,8588984,416,8503898
845,8588985,488,8503898
846,8503857,499,8503989
847,8503565,372,8505296
848,8503004,80,8505332
849,8576182,82,8505332
850,8576200,469,8505332
851,8503004,81,8505332
852,8503003,364,8505333
853,8503059,320,8505333
854,8503651,350,8505333
855,8576193,221,8505333
856,8576195,253,8505333
857,8576196,539,8505333
858,8591093,588,8505333
859,8591105,396,8505333
860,8590538,271,8505363
861,8590541,572,8505363
862,8590542,179,8505363
863,8590544,359,8505363
864,8590545,396,8505363
865,8503104,382,8505448
866,8503661,579,8505448
867,8530644,577,8505448
868,8576080,454,8505448
869,8588023,369,8505448
870,8588028,341,8505448
871,8503011,508,8506517
872,8573710,511,8506517
873,8591269,323,8506517
874,8591341,471,8506517
875,8506636,537,8506549
876,8590472,296,8506549
877,8590476,528,8506549
878,8590477,368,8506549
879,8590679,301,8506549
880,8506549,537,8506636
881,8590472,486,8506636
882,8590477,190,8506636
883,8503067,110,8506638
884,8591023,599,8506638
885,8591028,218,8506638
886,8573228,402,8506895
887,8503010,301,8507183
888,8503091,543,8507183
889,8591058,368,8507183
890,8591059,270,8507183
891,8591269,556,8507183
892,8591283,595,8507183
893,8591404,521,8507183
894,8591414,355,8507183
895,8591415,400,8507183
896,8591172,289,8509649
897,8591256,426,8509649
898,8591294,159,8509649
899,8591318,394,8509649
900,8591830,533,8509649
901,8530811,400,8510010
902,8591142,348,8510010
903,8591212,529,8510010
904,8591315,585,8510010
905,8502553,448,8510050
906,8572646,237,8510050
907,8588319,517,8510277
908,8590507,220,8510277
909,8590508,238,8510277
910,8590217,396,8517376
911,8590223,83,8517376
912,8590513,550,8517376
913,8590521,419,8517376
914,8590529,409,8517376
915,8502188,486,8517377
916,8502188,482,8517377
917,8502188,482,8517377
918,8502273,458,8517377
919,8502273,457,8517377
920,8502274,430,8517377
921,8572568,381,8517377
922,8572747,465,8517377
923,8580847,26,8517377
924,8582529,204,8517377
925,8502188,486,8517377
926,8502188,483,8517377
927,8502188,483,8517377
928,8502273,457,8517377
929,8502273,456,8517377
930,8502274,430,8517377
931,8572568,381,8517377
932,8572747,465,8517377
933,8580847,26,8517377
934,8582529,204,8517377
935,8591156,80,8530473
936,8591164,331,8530473
937,8591171,201,8530473
938,8591336,394,8530473
939,8591362,494,8530473
940,8591377,290,8530473
941,8577912,593,8530643
942,8580724,450,8530643
943,8590651,523,8530643
944,8590658,475,8530643
945,8590659,176,8530643
946,8590661,405,8530643
947,8590663,413,8530643
948,8503104,583,8530644
949,8503661,177,8530644
950,8505448,577,8530644
951,8588028,283,8530644
952,8590714,558,8530645
953,8590716,43,8530645
954,8503633,61,8530646
955,8590638,309,8530648
956,8590639,495,8530648
957,8590640,581,8530648
958,8510010,400,8530811
959,8591104,541,8530811
960,8591094,402,8530812
961,8591137,259,8530812
962,8591180,434,8530812
963,8591364,340,8530812
964,8503003,557,8530813
965,8503059,574,8530813
966,8576195,587,8530813
967,8576196,449,8530813
968,8591119,445,8530813
969,8591364,389,8530813
970,8591375,386,8530813
971,8503447,272,8530822
972,8503499,486,8530822
973,8588078,523,8530822
974,8591067,515,8530822
975,8591183,397,8530822
976,8591287,428,8530822
977,8591299,552,8530822
978,8591309,171,8530822
979,8591316,378,8530822
980,8591327,127,8530822
981,8583890,465,8557097
982,8590788,404,8557101
983,8590805,581,8557101
984,8502879,432,8570706
985,8502276,38,8572560
986,8502276,51,8572560
987,8580728,539,8572560
988,8580729,375,8572560
989,8502750,146,8572561
990,8502188,553,8572568
991,8502188,555,8572568
992,8502188,555,8572568
993,8517377,381,8572568
994,8517377,381,8572568
995,8580847,365,8572568
996,8582529,568,8572568
997,8502979,378,8572596
998,8502979,261,8572597
999,8580317,569,8572598
1000,8572601,456,8572600
1001,8576496,473,8572600
1002,8576498,486,8572600
1003,8582462,517,8572600
1004,8572600,456,8572601
1005,8576496,533,8572601
1006,8576498,299,8572601
1007,8502955,227,8572602
1008,8573722,372,8572602
1009,8573723,293,8572602
1010,8502879,463,8572603
1011,8583071,342,8572603
1012,8502779,531,8572605
1013,8582790,409,8572605
1014,8502553,317,8572646
1015,8510050,237,8572646
1016,8502273,36,8572747
1017,8502273,45,8572747
1018,8517377,465,8572747
1019,8517377,465,8572747
1020,8580847,449,8572747
1021,8582462,581,8572747
1022,8582529,360,8572747
